 INTERPRETE, TITULO, SELLO, ESTILO, LUGAR DE COMPRA
 ATTRACTIVE FUSION, EXTRA SIGHTSEEING, MASSIVE DRIVE, TRANCE, FANTASIA
 AVALLOC, LOOSE CONTROL, PUBLIC HOUSE RECORDS, HARDTRANCE, FANTASIA
 AVANT GARDE, GET DOWN, VOCAL BIZZ RECORDS, TECHNO HOUSE, FANTASIA
 AVATAR , RED PLANET, ILLUMINATE RECORDS, TRANCE, MUSIC HEAD
 AXIOM, MAKE'S ME FEEL, WHEEL WORKS, ACID TECHNO, FANTASIA
 AXIS, EMOTION, BONZAI RECORDS, HARDTRANCE, FANTASIA
 AYLA, LIEBE, UNSUBMISSIVE RECORDS, TRANCE, PLASTIC
 AYLA, ANGELFALLS, UNSUBMISSIVE RECORDS, TRANCE, FANTASIA
 AYLA presents YEL, THE SUN IS COMING OUT, UNSUBMISSIVE RECORDS, TRANCE, DEEJAY
 AYU, CONNECTED, DRIZZLY RECORDS, TRANCE, MUSIC HEAD
 B.B.E., SEVEN DAYS AND ONE WEEK, URBAN, TRANCE, FANTASIA
 B.B.E., FLASH, URBAN, TRANCE, FANTASIA
 B.B.E., DESIRE, URBAN, TRANCE, FANTASIA
 B.B.E., HOLLYWOOD, KOSMO RECORDS, TRANCE, MUSIC HEAD
 B.B.E., SEVEN DAYS AND ONE WEEK '99 REMIXES, INSOLENT TRACKS, TRANCE, FANTASIA
 B.G. THE PRINCE OF RAP, THE COLOUR OF MY DREAMS, DANCE POOL, EURODANCE, FANTASIA
 BACK & STAY, FIRE, TIME MACHINE RECORDS, MAKINA, FANTASIA
 BACTERY, ENERGY, BLANCO Y NEGRO, MAKINA, FANTASIA
 BALEARIC BILL, DESTINATION SUNSHINE, ANTLER SUBWAY, TRANCE, PLASTIC
 BALL 8, BLACK, PINK RECORDS, MAKINA, FANTASIA
 BALL 9, THE SPRING, PINK RECORDS, MAKINA, FANTASIA
 BALTES vs STEVENS, THE TOUCH, PROPELLER RECORDS, TRANCE, MUSIC MAIL
 BALTES vs STEVENS, ETERNAL SILENCE, PROPELLER RECORDS, TRANCE, MUSIC MAIL
 BANDIDO, I DROVE ALL NITE, KONG RECORDS, EURODANCE, FANTASIA
 BARABBA, EL RITMO RAPIDO, BOY RECORDS, EURODANCE, FANTASIA
 BARABBA, EL RITMO RAPIDO REMIXES, BOY RECORDS, EURODANCE, FANTASIA
 BARTHEZZ, INFECTED, SUPERSTAR RECORDINGS, PROGRESSIVE, MUSIC HEAD
 BASS BUMPERS, GOOD FUN, MAX MUSIC, EURODANCE, FANTASIA
 BASS BUMPERS, KEEP ON PUSHING, MAX MUSIC, EURODANCE, FANTASIA
 BATTLECATS, NIEMAND, 23 FRANKFURT RECORDS, TRANCE, MUSIC HEAD
 BATTLECATS, WARNING, SHIVA SOUNDS, TRANCE, MUSIC HEAD
 BCM, MIDNIGHT  , BCM RECORDS, TRANCE, MUSIC MAIL
 BEAM & YANOU, RAINBOW OF MINE, EMI ELEKTROLA GMBH, TRANCE, FANTASIA
 BEAM & YANOU, SOUND OF LOVE, BEAM TRAXX, TRANCE, FANTASIA
 BEAM & YANOU, THE FREE FALL, BEAM TRAXX, TRANCE, MUSIC MAIL
 BEAM vs CYRUS, TAKE THIS SOUND, EMI ELEKTROLA GMBH, TRANCE, MUSIC MAIL
 BEAM vs CYRUS, LIFESTYLE, EMI ELEKTROLA GMBH, TRANCE, MUSIC HEAD
 BEAM vs CYRUS, ALL OVER THE WORLD, EMI ELEKTROLA GMBH, TRANCE, MUSIC HEAD
 BEAT & PETER, V.A.N.G., MAX MUSIC, TECHNO HOUSE, FANTASIA
 BEATNIQZ, KICK IT, TIDY TRAX, HARDHOUSE, FANTASIA
 BENNO, FREEFALL, KARMA RECORDS, TRANCE, FANTASIA
 BEST COMPANY, LIVING, SIRUP RECORDS, TRANCE, MUSIC HEAD
 BETA-UNIT, SOMEBODY (... THE CLAP!), X-IT RECORDS, TRANCE, FANTASIA
 BIACCO, ENEMY, BONKA RECORDS, PROGRESSIVE, PLASTIC
 BINARY FINARY, 2000 REMIXES, ORBIT RECORDS, TRANCE, MUSIC MAIL
 BIOSPHERIC, RENDEZ-VOUS II, BIT MUSIC, MAKINA, FANTASIA
 BLACK AND WHITE, DO YOU KNOW, BLANCO Y NEGRO, EURODANCE, FANTASIA
 BLACKMAIL, DO YOU WANNA ...?, TEMPO GROOVE, TRANCE, FANTASIA
 BLANK & JONES, FLYING TO THE MOON, GANG GO MUSIC, TRANCE, PLASTIC
 BLANK & JONES, CREAM, GANG GO MUSIC, TRANCE, PLASTIC
 BLANK & JONES, AFTER LOVE REMIXES, GANG GO MUSIC, TRANCE, FANTASIA
 BLANK & JONES, THE NIGHTFLY, GANG GO MUSIC, TRANCE, PLASTIC
 BLANK & JONES, BEYOND TIME, GANG GO MUSIC, TRANCE, MUSIC MAIL
 BLANK & JONES," DJ'S, FANS & FREAKS", GANG GO MUSIC, TRANCE, MUSIC MAIL
 BLANK & JONES," DJ'S, FANS & FREAKS REMIXES", GANG GO MUSIC, TRANCE, MUSIC HEAD
 BLANK & JONES, DESIRE, GANG GO MUSIC, TRANCE, MUSIC MAIL
 BLANK & JONES, THE HARDEST HEART, GANG GO MUSIC, TRANCE, DEEJAY
 BLANK & JONES, THE HARDEST HEART REMIXES, GANG GO MUSIC, TRANCE, DEEJAY
 BLISS TEAM, PEOPLE HAVE THE POWER, BLANCO Y NEGRO, EURODANCE, FANTASIA
 BLOKKA, DIG DEEP, BOY RECORDS, TECHNO, FANTASIA
 BLOKKA, EXPLORATION, BIT MUSIC, TECHNO, FANTASIA
 BLUE ALPHABET, YELLOW EVOLUTION, BONZAI TRANCE, TRANCE, MUSIC MAIL
 BLUE DOLPHIN, FAITHFUL MEMORY, BLUE DEEP RECORDINGS, TRANCE, CORTE INGLES
 BOCCACCIO LIFE, TIME, DANCE OPERA, TRANCE, FANTASIA
 BOCCACCIO LIFE, THE SECRET WISH, GO FOR IT, TRANCE, FANTASIA
 BOCCACCIO LIFE, ANGELS, DANCE OPERA, TRANCE, FANTASIA
 BONDAGE, FUCKIN' BITCH, EDM RECORDS, TRANCE, MUSIC MAIL
 BONITO JULIO vs CLAUDIO MACALVO, HAMMERHEAD, HOT SCORE RECORDS, TECHNO, FANTASIA
 BONUSTRACK, BASIC THEME, BIT MUSIC, MAKINA, FANTASIA
 BPM SYSTEM VOL 2, C'EST SI BON, CONTRASEÑA RECORDS, MAKINA, FANTASIA
 BPM SYSTEM VOL 3, D-JA-VU, CONTRASEÑA RECORDS, MAKINA, FANTASIA
 BRAIN 10, UNDER MY COMMAND, BRAIN RECORDINGS, ACID, FANTASIA
 BRAINVIBE  , SYSTEM OF LOVE '97, UPBEAT RECORDS, TRANCE, MUSIC MAIL
 BRAINVIBE II, IT'S HOT, UPBEAT RECORDS, HOUSE PROGRESSIVO, FANTASIA
 BROOKLYN BOUNCE, FUNK U, CLUB TOOLS, TRANCE, FANTASIA
 BROOKLYN BOUNCE, LOUD & PROUD, DANCE DIVISION, TRANCE, MUSIC HEAD
 BROOKLYN BOUNCE, BRING IT BACK, DANCE DIVISION, TRANCE, DEEJAY
 BROOKLYN BOUNCE, BRING IT BACK REMIXES, DANCE DIVISION, TRANCE, MUSIC HEAD
 B-SIDE, IDEAL, BLANCO Y NEGRO, MAKINA, CORTE INGLES
 BURGY, LOCHFRESSER, QUICKEY RECORDS, TRANCE, MUSIC MAIL
 BUSH, FUTURE   , CASES RECORDS, TRANCE, MUSIC HEAD
 BUTTERFLY, CAN'T HELP FALLING IN LOVE, CARLIN MUSIC, EURODANCE, FANTASIA
 B-VOICE, ETERNITY, HAREM RECORDS, HARDTRANCE, PLASTIC
 B-VOICE, TURN OF THE YEAR, HAREM RECORDS, HARDTRANCE, FANTASIA
 C*Y*B*, NOW, RED ALERT, TRANCE, PLASTIC
 CABBALLERO, HYMN, MAX MUSIC, EURODANCE, FANTASIA
 CABBALLERO, DANCING WITH TEARS IN MY EYES, MAX MUSIC, EURODANCE, FANTASIA
 CABBALLERO, LOVE IS THE MESSAGE, MAX MUSIC, EURODANCE, FANTASIA
 CABBALLERO, LOVE IS A SHIELD, MAX MUSIC, EURODANCE, FANTASIA
 CAESAR, ORGASM, H&G RECORDS, TRANCE, PLASTIC
 CALDERONE, YOU'RE THE ONE, SPACE TRAXX, TRANCE, MUSIC MAIL
 CANAL SATELITE, BIGMOUTH STRIKES AGAIN, SOTELO INTERNACIONAL, EURODANCE, FANTASIA
 CANDY GIRLS, WHAM BAM, VIRGIN RECORDS, EURODANCE, FANTASIA
 CANTARA, PERSIAN LOVE SONG, BLUTONIUM RECORDS, TRANCE, MUSIC MAIL
 CANYON, FORBIDDEN CHANNEL, TETSUO RECORDS, TRANCE, MUSIC RESEARCH
 CAPE 4, AFRICA, GO FOR IT, TRANCE, MUSIC MAIL
 CAPPELLA, MOVE ON BABY, BLANCO Y NEGRO, EURODANCE, FANTASIA
 CAPPELLA, YOU AND ME, BLANCO Y NEGRO, EURODANCE, FANTASIA
 CAPPELLA, MOVE IT UP, BLANCO Y NEGRO, EURODANCE, FANTASIA
 CAPTAIN TINRIB, RIDE ME BABY, TINRIB RECORDINGS, HARDTRANCE, FANTASIA
 CASCADE, TRANSCEND, HOOK RECORDINGS, TRANCE, INTERGROOVE
 CATCHY TUNE, GENERATION OF LOVE, BOY RECORDS, HARDTRANCE, FANTASIA
 CAVEMAN, PÈRFECT PERVERT, POLAR STATE, TRANCE, FANTASIA
 CELESTIAL, THE LIGHT, MAX MUSIC, MAKINA, FANTASIA
 CELVIN ROTANE, I BELIEVE, MAX MUSIC, TECHNO HOUSE, FANTASIA
 CENITH X, FEEL, BLANCO Y NEGRO, TRANCE, FANTASIA
 CENTRAL, PARTY CENTRAL, DISCOSHOP, MAKINA, FANTASIA
 CENTRAL ROCK, C.E.N.T.R.A.L., WILD WEST RECORDS, MAKINA, FANTASIA
 CHAKRA, HOME, FRESH FISH RECORDS, TRANCE, FANTASIA
 CHAKRA & EDI MIS, X-FILE 99, CAMOUFLAGE, TRANCE, FANTASIA
 CHANT. SWEET IMAGES, SWEET IMAGES, VIRGIN RECORDS, TRANCE, PLASTIC
 CHARADE, FOR MY LOVE, REEF RECORDINGS, TRANCE, FANTASIA
 CHARLY LOWNOISE & MENTAL THEO, HARDCORE FEELINGS, URBAN, HAPPY HARDCORE, FANTASIA
 CHARLY LOWNOISE & MENTAL THEO, STREET KIDS, MASTER MAXIMUM, HAPPY HARDCORE, FANTASIA
 CHARLY LOWNOISE & MENTAL THEO, NEXT 2 ME, VALE MUSIC, HAPPY HARDCORE, FANTASIA
 CHASIS, WELCOME TO THE FUTURE, UFO WAVES, MAKINA, FANTASIA
 CHASIS feat RICARDO F, CRAZY DUCK, MAX MUSIC, MAKINA, FANTASIA
 CHELSEE, SWEET DESTINY, ORBIT RECORDS, TRANCE, FANTASIA
 CHERRYMOON TRAX, ALTERNATION, MINDWORX RECORDINGS, TRANCE, MUSIC RESEARCH
 CHICANE, NO ORDINARY MORNING, XTRAVAGANZA RECORDS, TRANCE, PLASTIC
 CHICANE, AUTUMN TACTICS, XTRAVAGANZA RECORDS, TRANCE, PLASTIC
 CHICANE feat BRYAN ADAMS, DON'T GIVE UP, XTRAVAGANZA RECORDS, TRANCE, PLASTIC
 CHIMO BAYO, LA TIA ENRIQUETA, KONG RECORDS, MAKINA, FANTASIA
 CHIMO BAYO, VAMOS AL ESPACIO EXTERIOR, KONG RECORDS, MAKINA, FANTASIA
 CHRIS RAVEN, I LOST YOU, BONZAI TRANCE, TRANCE, FANTASIA
 CHROME & PRICE, SUNRISE, VELVET VIBE RECORDINGS, TRANCE, INTERGROOVE
 CIHAN GUNGOR, UULTRA HART, ESCAPE RECORDS, TRANCE, MUSIC MAIL
 CITIZEN X, LONELY DAYS, CYBER MUSIC, TRANCE, FANTASIA
 CITIZEN X, RUNNING OUT OF TIME, TECHNOGOLD, TRANCE, CORTE INGLES
 CJ ROLO, DREAMS, BIT MUSIC, MAKINA, FANTASIA
 CJ ROLO, CYBERSPACE, BIT MUSIC, MAKINA, FANTASIA
 CJ STONE, INFINITY, KONTOR RECORDS, TRANCE, FANTASIA
 CJ STONE, SHINING STAR, KONTOR RECORDS, TRANCE, MUSIC MAIL
 CJ STONE, INTO THE SEA, KONTOR RECORDS, TRANCE, MUSIC HEAD
 CJ STONE, THE SUN, KONTOR RECORDS, TRANCE, MUSIC HEAD
 CLIMA-X, AIR PLEASE, BIT MUSIC, MAKINA, FANTASIA
 CLIMA-X, PICTURES, BIT MUSIC, MAKINA, FANTASIA
 CLIMA-X, PARASYTS, BIT MUSIC, MAKINA, PLASTIC
 CLINIX, LET IT FLOW, WASH, TRANCE, FANTASIA
 CLONED MIND, WHERE IS THE SUN, FRIENDSHIP RECORDINGS, TRANCE, MUSIC MAIL
 CLONED MIND, WELCOME TO MY WORLD, FRIENDSHIP RECORDINGS, TRANCE, MUSIC MAIL
 CLONED MIND, CHANGES, FRIENDSHIP RECORDINGS, TRANCE, MUSIC HEAD
 CLUB CULTURE, EVERYBODY WANNA ROCK, STIK RECORDS, TECHNO, PLASTIC
 CLUB DISCIPLES, TEKNICIDA, EDM RECORDS, HARDTRANCE, FANTASIA
